"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2016S008785    ",-1,"Desconegut",-1,"Desconegut",-1,"NÚMERO 6 / A                                      ","Desconegut","Dimarts","2016",11,"Novembre","15","22","Desobeir altres senyals","Nit","427519.99 ","4575229.36","2.16589108024690","41.3751655474142"
"2016S006269    ",-1,"Desconegut",-1,"Desconegut",-1,"ALMIRALL CERVERA / Sevilla                        ","Desconegut","Divendres","2016",8,"Agost","12","08","No respectat pas de vianants","Matí","432316.21 ","4581276.81","2.15473697221510","41.3763670438600"
"2016S005498    ",-1,"Desconegut",-1,"Desconegut",-1,"NÚMERO 3 / E                                      ","Desconegut","Dimecres","2016",7,"Juliol","13","05","Altres","Nit","427265.97 ","4576644.81","2.15742662932905","41.3812840639166"
"2016S001172    ",-1,"Desconegut",-1,"Desconegut",-1,"RDA DALT (BESÒS)                                  ","K00046    ","Diumenge","2016",2,"Febrer","14","21","No respectar distàncies","Tarda","424991.14 ","4581760.18","2.15742662932905","41.3812840639166"
"2016S002566    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",283200,"Ripollès","0093 0093","Dimarts","2016",4,"Abril","5","07","No determinada","Matí","432141.03 ","4585382.64","2.16315571227123","41.3818594590244"
"2016S008866    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",283200,"Ripollès","0093 0093","Divendres","2016",11,"Novembre","18","09","Gir indegut o sense precaució","Matí","432141.03 ","4585382.64","2.15470829784992","41.3772058848001"
"2016S003312    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",283200,"Ripollès","0094 0094","Diumenge","2016",5,"Maig","1","14","No respectar distàncies","Tarda","432107.36 ","4585401.41","2.16207525573498","41.3760736298562"
"2016S009619    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0380 0380","Dijous","2016",12,"Desembre","15","08","No respectat pas de vianants","Matí","431837.48 ","4585501.88","2.16229800868244","41.3797870743978"
"2016S004672    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",346402,"Trinxant","0114 0114","Dimecres","2016",6,"Juny","15","19","Altres","Tarda","431954.6  ","4585556.54","2.15867970518957","41.3803304141042"
"2016S003934    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0289 0289","Diumenge","2016",5,"Maig","22","14","No respectat pas de vianants","Tarda","431603.55 ","4585443.43","2.15119410090065","41.3844304535281"
"2016S002501    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0276B0276B","Divendres","2016",4,"Abril","1","22","Desobeir semàfor","Nit","431372.38 ","4585035.95","2.13281660051173","41.3234370600014"
"2016S001239    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0007 0009","Dimecres","2016",2,"Febrer","17","14","No determinada","Tarda","431511.02 ","4585166.35","2.18944564549588","41.3783224998282"
"2016S004919    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",145808,"Ginecòs","0036 0036","Dimecres","2016",6,"Juny","22","14","Avançament defectuós/improcedent","Tarda","431880.71 ","4585472.75","2.12961207031110","41.3361626820179"
"2016S009702    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",105304,"Dos de Maig","0316 0316","Dissabte","2016",12,"Desembre","17","10","Desobeir semàfor","Matí","431369.31 ","4584838.67","2.10179512301131","41.3820259482859"
"2016S003550    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",95506,"Conca","0019 0019","Dilluns","2016",5,"Maig","9","11","Manca precaució incorporació circulació","Matí","431427.92 ","4585079.15","2.18689031416923","41.4152877819504"
"2016S009537    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",310008,"Sant Quintí","0027 0027","Dilluns","2016",12,"Desembre","12","15","Manca d'atenció a la conducció","Tarda","431466.56 ","4584937.05","2.18689031416923","41.4152877819504"
"2016S002935    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",310008,"Sant Quintí","0027 0027","Dilluns","2016",4,"Abril","18","15","Manca precaució incorporació circulació","Tarda","431466.56 ","4584937.05","2.18648535712315","41.4154539910057"
"2016S009602    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",74302,"Catalunya","0002 0002","Dimecres","2016",12,"Desembre","14","17","No respectar distàncies","Tarda","431555.77 ","4585028.44","2.18324500955059","41.4163360253212"
"2016S007411    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0513 0513","Dijous","2016",9,"Setembre","29","12","Gir indegut o sense precaució","Matí","431651.12 ","4584550.19","2.18464017265558","41.4168382654042"
"2016S004508    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",268003,"Provença","0564 0568","Dijous","2016",6,"Juny","9","17","Manca d'atenció a la conducció","Tarda","431808.78 ","4584533.99","2.18045270073654","41.4157896907166"
"2016S004680    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0570 0570","Dijous","2016",6,"Juny","16","08","No determinada","Matí","432131.07 ","4584631.66","2.17773308993490","41.4120999267152"
"2016S000435    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",98209,"Degà Bahí","0012 0014","Dimarts","2016",1,"Gener","19","07","Desconegut","Matí","431982.15 ","4584861.14","2.17937700515345","41.4132862341501"
"2016S000908    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",18505,"Aragó","0567 0569","Dijous","2016",2,"Febrer","4","16","Altres","Tarda","431988.96 ","4584692.18","2.18376553105755","41.4160773298026"
"2016S000582    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",109101,"Enamorats","0128 0128","Dissabte","2016",1,"Gener","23","21","No determinada","Tarda","431930.44 ","4584810.5 ","2.17771875731547","41.4103228277772"
"2016S001867    ",10,"Sant Martí",65,"el Clot",367800,"Washington","0001 0001","Dimarts","2016",3,"Març","8","17","Canvi de carril sense precaució","Tarda","432411.1  ","4585107.29","2.17839267023733","41.4124937598545"
"2016S006105    ",10,"Sant Martí",72,"Sant Martí de Provençals",128106,"Fluvià","0249 0249","Dijous","2016",8,"Agost","4","12","No respectat pas de vianants","Matí","432459.51 ","4584809.66","2.17887107228739","41.4112172101638"
"2016S002927    ",10,"Sant Martí",72,"Sant Martí de Provençals",86200,"Concili de Trento","0095 0095","Dilluns","2016",4,"Abril","18","13","No determinada","Matí","432108.71 ","4584873.51","2.17887107228739","41.4112172101638"
"2016S001349    ",10,"Sant Martí",72,"Sant Martí de Provençals",128707,"Fondal de Sant Martí","0016 0016","Dissabte","2016",2,"Febrer","20","17","Desobeir altres senyals","Tarda","432134.81 ","4584834.86","2.17992801964935","41.4120479392177"
"2016S007623    ",10,"Sant Martí",65,"el Clot",210003,"Meridional","0006 0006","Divendres","2016",10,"Octubre","7","09","Manca d'atenció a la conducció","Matí","432609.18 ","4585145.59","2.18112285591895","41.4077486147055"
"2016S000611    ",10,"Sant Martí",72,"Sant Martí de Provençals",15201,"Andrade","0118 0118","Dilluns","2016",1,"Gener","25","09","Altres","Matí","432349.81 ","4584858.94","2.18301080409573","41.4076161086688"
"2016S004930    ",10,"Sant Martí",65,"el Clot",355200,"Vehils","0006 0006","Dimecres","2016",6,"Juny","22","18","Manca d'atenció a la conducció","Tarda","431996.66 ","4584343.27","2.18685546165919","41.4085230938487"
"2016S008392    ",10,"Sant Martí",65,"el Clot",81603,"Clot","0120 0122","Dijous","2016",11,"Novembre","3","16","Manca d'atenció a la conducció","Tarda","432847.16 ","4585262.08","2.18504805865768","41.4105773504765"
